model,domain,task,instance_id,gt_plan,curr_plan,plan_trace,nr_plan_trace,trace_score,complementary_plan,correct_part,executability,final_score,curr_score,curr_steps,curr_last_act,curr_validity,cdt_plan,cdt_score,cdt_steps,cdt_last_act,cdt_validity,subseq_plan,subseq_score,subseq_steps,subseq_last_act,subseq_validity,cdt_subseq_plan,cdt_subseq_score,cdt_subseq_steps,cdt_subseq_last_act,cdt_subseq_validity,improved_plan,improved_validity
gemma-2-2b_it,blocksworld_3,_pddl,2,"['(pick-up a)', '(stack a c)', '(pick-up b)', '(stack b a)']","['(unstack c b)', '(put-down c)', '(unstack b a)', '(put-down b)', '(pick-up a)', '(stack a c)', '(pick-up c)', '(stack c a)']","{4: 'correct', 5: 'correct', 0: 'diff_act', 2: 'diff_act', 3: 'redundant', 6: 'redundant', 7: 'redundant', 1: 'redundant'}","{4: 'correct', 5: 'correct', 0: 'diff_act', 2: 'diff_act', 3: 'redundant', 6: 'same_act', 7: 'same_act', 1: 'diff_act'}",0.625,"['(pick-up a)', '(stack a c)', '(pick-up b)', '(stack b a)']",[],False,1.74375,1.58125,8,0,False,"['(pick-up a)', '(stack a c)', '(pick-up c)', '(stack c a)', '(unstack c b)', '(put-down c)', '(unstack b a)', '(put-down b)']",1.90625,6,2,False,"['(pick-up a)', '(stack a c)']",1.0,2,2,False,"['(pick-up a)', '(stack a c)']",1.0,2,2,False,"['(pick-up a)', '(stack a c)', '(pick-up b)', '(stack b a)']",True
gemma-2-2b_it,blocksworld_3,_pddl,3,"['(unstack b c)', '(put-down b)', '(unstack c a)', '(put-down c)', '(pick-up b)', '(stack b a)', '(pick-up c)', '(stack c b)']","['(pick-up b)', '(stack b a)', '(pick-up c)', '(stack c b)']","{0: 'correct', 1: 'correct', 2: 'correct', 3: 'correct'}","{0: 'correct', 1: 'correct', 2: 'correct', 3: 'correct'}",2.0,"['(unstack b c)', '(put-down b)', '(unstack c a)', '(put-down c)', '(pick-up b)', '(stack b a)', '(pick-up c)', '(stack c b)']",[],False,3.5,3.5,8,0,False,"['(pick-up b)', '(stack b a)', '(pick-up c)', '(stack c b)']",3.5,8,0,False,"['(pick-up b)', '(stack b a)', '(pick-up c)', '(stack c b)']",1.0,8,0,False,"['(pick-up b)', '(stack b a)', '(pick-up c)', '(stack c b)']",1.0,8,0,False,"['(unstack b c)', '(put-down b)', '(unstack c a)', '(put-down c)', '(pick-up b)', '(stack b a)', '(pick-up c)', '(stack c b)']",True
gemma-2-2b_it,blocksworld_3,_pddl,4,"['(unstack a b)', '(put-down a)', '(unstack b c)', '(stack b a)']","['(unstack c a)', '(put-down c)', '(unstack a b)', '(put-down a)', '(pick-up b)', '(stack b a)', '(pick-up c)', '(stack c b)']","{2: 'correct', 3: 'correct', 5: 'correct', 0: 'same_act', 1: 'redundant', 4: 'redundant', 6: 'redundant', 7: 'redundant'}","{2: 'correct', 3: 'correct', 5: 'correct', 0: 'same_act', 1: 'same_act', 4: 'diff_act', 6: 'redundant', 7: 'same_act'}",0.875,"['(unstack a b)', '(put-down a)', '(unstack b c)', '(stack b a)']",[],False,1.890625,1.7625,7,0,False,"['(unstack a b)', '(put-down a)', '(unstack b c)', '(put-down b)', '(pick-up c)', '(stack c b)', '(pick-up a)', '(stack a c)']",2.01875,5,8,False,"['(unstack a b)', '(put-down a)', '(stack b a)']",1.0,2,2,False,"['(unstack a b)', '(put-down a)', '(unstack b c)']",1.0,1,3,False,"['(unstack a b)', '(put-down a)', '(unstack b c)', '(stack b a)']",True
gemma-2-2b_it,blocksworld_3,_pddl,5,"['(unstack a b)', '(put-down a)', '(unstack b c)', '(put-down b)', '(pick-up c)', '(stack c a)', '(pick-up b)', '(stack b c)']","['(stack c a)', '(unstack c b)', '(put-down c)', '(stack b a)']","{0: 'correct', 1: 'same_act', 2: 'same_act', 3: 'same_act'}","{0: 'correct', 1: 'same_act', 2: 'same_act', 3: 'same_act'}",1.25,"['(unstack a b)', '(put-down a)', '(unstack b c)', '(put-down b)', '(pick-up c)', '(stack c a)', '(pick-up b)', '(stack b c)']",[],False,2.3791666666666664,2.125,8,0,False,"['(unstack a b)', '(put-down a)', '(stack b c)', '(stack a c)']",2.6333333333333333,6,2,False,['(stack c a)'],1.0,8,0,False,"['(unstack a b)', '(put-down a)', '(stack b c)']",1.0,6,2,False,"['(unstack a b)', '(put-down a)', '(unstack b c)', '(put-down b)', '(pick-up c)', '(stack c a)', '(pick-up b)', '(stack b c)']",True
gemma-2-2b_it,blocksworld_3,_pddl,6,"['(unstack a c)', '(put-down a)', '(unstack c b)', '(stack c a)', '(pick-up b)', '(stack b c)']","['(unstack a c)', '(put-down a)', '(unstack c b)', '(put-down c)', '(pick-up b)', '(stack b c)', '(pick-up c)', '(stack c a)']","{0: 'position', 1: 'position', 2: 'position', 4: 'position', 5: 'position', 7: 'correct', 3: 'redundant', 6: 'redundant'}","{0: 'position', 1: 'position', 2: 'position', 4: 'position', 5: 'position', 7: 'correct', 3: 'same_act', 6: 'same_act'}",2.75,"['(stack c a)', '(pick-up b)', '(stack b c)']","['(unstack a c)', '(put-down a)', '(unstack c b)']",False,2.979166666666667,2.979166666666667,5,6,False,"['(unstack a c)', '(put-down a)', '(unstack c b)', '(put-down c)', '(pick-up b)', '(stack b c)', '(pick-up c)', '(stack c a)']",2.979166666666667,5,6,False,"['(unstack a c)', '(put-down a)', '(unstack c b)', '(pick-up b)', '(stack b c)']",1.0,3,3,False,"['(unstack a c)', '(put-down a)', '(unstack c b)', '(pick-up b)', '(stack b c)']",1.0,3,3,False,"['(unstack a c)', '(put-down a)', '(unstack c b)', '(stack c a)', '(pick-up b)', '(stack b c)']",True
gemma-2-2b_it,blocksworld_3,_pddl,7,"['(unstack a c)', '(put-down a)', '(pick-up b)', '(stack b c)', '(pick-up a)', '(stack a b)']","['(unstack a c)', '(put-down a)', '(unstack c b)', '(stack c a)', '(pick-up b)', '(stack b c)', '(stack c a)']","{0: 'position', 1: 'position', 4: 'correct', 5: 'correct', 2: 'diff_act', 3: 'diff_act', 6: 'redundant'}","{0: 'position', 1: 'position', 4: 'correct', 5: 'correct', 2: 'diff_act', 3: 'diff_act', 6: 'same_act'}",1.8571428571428568,"['(pick-up b)', '(stack b c)', '(pick-up a)', '(stack a b)']","['(unstack a c)', '(put-down a)']",False,2.9154761904761903,2.747619047619048,5,2,False,"['(unstack c b)', '(put-down c)', '(unstack b a)', '(stack b c)', '(pick-up a)', '(stack a b)', '(stack b c)']",3.083333333333333,4,0,False,"['(unstack a c)', '(put-down a)', '(pick-up b)', '(stack b c)']",1.0,2,4,False,"['(stack b c)', '(pick-up a)', '(stack a b)']",1.0,6,0,False,"['(unstack a c)', '(put-down a)', '(pick-up b)', '(stack b c)', '(pick-up a)', '(stack a b)']",True
gemma-2-2b_it,blocksworld_3,_pddl,8,"['(pick-up a)', '(stack a c)']","['(unstack a c)', '(put-down a)', '(pick-up b)', '(stack b c)', '(pick-up a)', '(stack a b)']","{4: 'correct', 0: 'diff_act', 1: 'redundant', 2: 'redundant', 3: 'redundant', 5: 'redundant'}","{4: 'correct', 0: 'diff_act', 1: 'diff_act', 2: 'same_act', 3: 'same_act', 5: 'same_act'}",0.4166666666666667,"['(pick-up a)', '(stack a c)']",[],False,0.5694444444444444,0.4166666666666667,6,0,False,"['(unstack a b)', '(put-down a)', '(pick-up c)', '(stack c b)', '(pick-up a)', '(stack a c)']",0.7222222222222222,4,0,False,['(pick-up a)'],1.0,1,1,False,"['(pick-up a)', '(stack a c)']",1.0,0,2,True,"['(pick-up a)', '(stack a c)']",True
gemma-2-2b_it,blocksworld_3,_pddl,9,"['(unstack a c)', '(put-down a)', '(pick-up c)', '(stack c a)']","['(pick-up a)', '(stack a c)', '(unstack a c)']","{2: 'correct', 0: 'same_act', 1: 'same_act'}","{2: 'correct', 0: 'same_act', 1: 'same_act'}",1.3333333333333333,"['(unstack a c)', '(put-down a)', '(pick-up c)', '(stack c a)']",[],False,3.2333333333333334,3.0666666666666664,4,0,False,"['(pick-up c)', '(stack c a)', '(unstack c a)']",3.4,4,0,False,['(unstack a c)'],1.0,3,1,False,"['(pick-up c)', '(stack c a)']",1.0,4,0,False,"['(unstack a c)', '(put-down a)', '(pick-up c)', '(stack c a)']",True
gemma-2-2b_it,blocksworld_3,_pddl,10,"['(unstack b c)', '(put-down b)', '(pick-up c)', '(stack c b)', '(pick-up a)', '(stack a c)']","['(unstack a c)', '(put-down a)', '(pick-up c)', '(stack c a)', '(stack c b)']","{2: 'position', 4: 'correct', 0: 'same_act', 1: 'same_act', 3: 'same_act'}","{2: 'position', 4: 'correct', 0: 'same_act', 1: 'same_act', 3: 'same_act'}",1.8,"['(unstack b c)', '(put-down b)', '(pick-up c)', '(stack c b)', '(pick-up a)', '(stack a c)']",[],False,3.681666666666666,3.023333333333333,5,0,False,"['(unstack b c)', '(put-down b)', '(pick-up c)', '(stack c b)', '(stack c a)']",4.34,2,4,False,"['(pick-up c)', '(stack c b)']",1.0,6,0,False,"['(unstack b c)', '(put-down b)', '(pick-up c)', '(stack c b)']",1.0,2,4,False,"['(unstack b c)', '(put-down b)', '(pick-up c)', '(stack c b)', '(pick-up a)', '(stack a c)']",True
gemma-2-2b_it,blocksworld_3,_pddl,11,"['(unstack c a)', '(put-down c)', '(unstack a b)', '(put-down a)', '(pick-up b)', '(stack b a)', '(pick-up c)', '(stack c b)']","['(unstack c b)', '(put-down c)', '(pick-up b)', '(stack b c)', '(pick-up a)', '(stack a c)']","{1: 'position', 2: 'correct', 0: 'same_act', 3: 'same_act', 4: 'same_act', 5: 'same_act'}","{1: 'position', 2: 'correct', 0: 'same_act', 3: 'same_act', 4: 'same_act', 5: 'same_act'}",1.6666666666666667,"['(unstack c a)', '(put-down c)', '(unstack a b)', '(put-down a)', '(pick-up b)', '(stack b a)', '(pick-up c)', '(stack c b)']",[],False,3.390277777777777,2.85,7,0,False,"['(unstack a b)', '(put-down a)', '(pick-up b)', '(stack b a)', '(pick-up c)', '(stack c a)']",3.9305555555555554,8,0,False,"['(put-down c)', '(pick-up b)']",1.0,8,0,False,"['(unstack a b)', '(put-down a)', '(pick-up b)', '(stack b a)', '(pick-up c)']",1.0,8,0,False,"['(unstack c a)', '(put-down c)', '(unstack a b)', '(put-down a)', '(pick-up b)', '(stack b a)', '(pick-up c)', '(stack c b)']",True
