model,domain,task,instance_id,gt_plan,curr_plan,plan_trace,nr_plan_trace,trace_score,complementary_plan,correct_part,executability,final_score,curr_score,curr_steps,curr_last_act,curr_validity,cdt_plan,cdt_score,cdt_steps,cdt_last_act,cdt_validity,subseq_plan,subseq_score,subseq_steps,subseq_last_act,subseq_validity,cdt_subseq_plan,cdt_subseq_score,cdt_subseq_steps,cdt_subseq_last_act,cdt_subseq_validity,improved_plan,improved_validity
gemma-2-2b_it,blocksworld_3,_zero_shot,1,"['(unstack c b)', '(put-down c)', '(unstack b a)', '(put-down b)', '(pick-up a)', '(stack a b)', '(pick-up c)', '(stack c a)']","['(pick-up c)', '(put-down c)', '(pick-up b)', '(put-down b)', '(pick-up a)', '(stack a b)', '(put-down a)']","{1: 'position', 3: 'position', 4: 'position', 5: 'position', 0: 'correct', 2: 'diff_act', 6: 'diff_act'}","{1: 'position', 3: 'position', 4: 'position', 5: 'position', 0: 'correct', 2: 'diff_act', 6: 'diff_act'}",2.7142857142857144,"['(unstack c b)', '(put-down c)', '(unstack b a)', '(put-down b)', '(pick-up a)', '(stack a b)', '(pick-up c)', '(stack c a)']",[],False,3.3642857142857143,3.3642857142857143,4,0,False,"['(pick-up c)', '(put-down c)', '(pick-up b)', '(put-down b)', '(pick-up a)', '(stack a b)', '(put-down a)']",3.3642857142857143,4,0,False,"['(put-down c)', '(put-down b)', '(pick-up a)', '(stack a b)']",1.0,8,0,False,"['(put-down c)', '(put-down b)', '(pick-up a)', '(stack a b)']",1.0,8,0,False,"['(unstack c b)', '(put-down c)', '(unstack b a)', '(put-down b)', '(pick-up a)', '(stack a b)', '(pick-up c)', '(stack c a)']",True
gemma-2-2b_it,blocksworld_3,_zero_shot,2,"['(pick-up a)', '(stack a c)', '(pick-up b)', '(stack b a)']","['(pick-up a)', '(put-down a)', '(pick-up c)', '(put-down c)', '(pick-up b)', '(put-down b)', '(pick-up a)', '(stack a c)', '(pick-up b)', '(stack b a)']","{0: 'position', 4: 'correct', 7: 'correct', 9: 'correct', 1: 'redundant', 2: 'redundant', 3: 'redundant', 5: 'redundant', 6: 'redundant', 8: 'redundant'}","{0: 'position', 4: 'correct', 7: 'correct', 9: 'correct', 1: 'diff_act', 2: 'same_act', 3: 'diff_act', 5: 'redundant', 6: 'correct', 8: 'correct'}",1.0,[],"['(pick-up a)', '(put-down a)', '(pick-up c)', '(put-down c)', '(pick-up b)', '(put-down b)', '(pick-up a)', '(stack a c)', '(pick-up b)', '(stack b a)']",True,1.4500000000000002,1.3,8,10,True,"['(pick-up a)', '(put-down a)', '(pick-up c)', '(put-down c)', '(pick-up b)', '(put-down b)', '(pick-up a)', '(stack a c)', '(pick-up b)', '(stack b a)']",1.3,8,10,True,"['(pick-up a)', '(stack a c)', '(pick-up b)', '(stack b a)']",1.0,0,4,True,"['(pick-up a)', '(stack a c)', '(pick-up b)', '(stack b a)']",1.0,0,4,True,"['(pick-up a)', '(put-down a)', '(pick-up c)', '(put-down c)', '(pick-up b)', '(put-down b)', '(pick-up a)', '(stack a c)', '(pick-up b)', '(stack b a)']",True
gemma-2-2b_it,blocksworld_3,_zero_shot,3,"['(unstack b c)', '(put-down b)', '(unstack c a)', '(put-down c)', '(pick-up b)', '(stack b a)', '(pick-up c)', '(stack c b)']","['(pick-up b)', '(unstack b c)', '(put-down b)', '(stack b a)', '(pick-up c)', '(unstack c b)', '(put-down c)', '(stack c b)']","{7: 'position', 0: 'correct', 1: 'correct', 2: 'correct', 3: 'correct', 4: 'correct', 6: 'correct', 5: 'same_act'}","{7: 'position', 0: 'correct', 1: 'correct', 2: 'correct', 3: 'correct', 4: 'correct', 6: 'correct', 5: 'same_act'}",2.125,"['(unstack b c)', '(put-down b)', '(unstack c a)', '(put-down c)', '(pick-up b)', '(stack b a)', '(pick-up c)', '(stack c b)']",[],False,2.927083333333333,2.84375,7,0,False,"['(unstack b c)', '(put-down b)', '(stack b c)', '(pick-up c)', '(unstack c b)', '(put-down c)', '(stack c a)', '(pick-up b)']",3.0104166666666665,6,2,False,"['(unstack b c)', '(put-down b)', '(stack b a)', '(pick-up c)', '(stack c b)']",1.0,6,2,False,"['(unstack b c)', '(put-down b)', '(put-down c)', '(pick-up b)']",1.0,6,2,False,"['(unstack b c)', '(put-down b)', '(unstack c a)', '(put-down c)', '(pick-up b)', '(stack b a)', '(pick-up c)', '(stack c b)']",True
gemma-2-2b_it,blocksworld_3,_zero_shot,4,"['(unstack a b)', '(put-down a)', '(unstack b c)', '(stack b a)']","['(unstack b a)', '(put-down b)', '(stack a b)']","{0: 'same_act', 1: 'same_act', 2: 'same_act'}","{0: 'same_act', 1: 'same_act', 2: 'same_act'}",1.0,"['(unstack a b)', '(put-down a)', '(unstack b c)', '(stack b a)']",[],False,3.075,2.4833333333333334,4,0,False,"['(unstack a b)', '(put-down a)', '(stack b a)']",3.6666666666666665,2,2,False,[],0.0,4,0,False,"['(unstack a b)', '(put-down a)', '(stack b a)']",1.0,2,2,False,"['(unstack a b)', '(put-down a)', '(unstack b c)', '(stack b a)']",True
gemma-2-2b_it,blocksworld_3,_zero_shot,5,"['(unstack a b)', '(put-down a)', '(unstack b c)', '(put-down b)', '(pick-up c)', '(stack c a)', '(pick-up b)', '(stack b c)']","['(unstack b c)', '(pick-up b)', '(stack b c)', '(put-down b)', '(unstack b c)', '(pick-up b)', '(stack b c)', '(put-down b)', '(unstack b c)', '(pick-up b)', '(stack b c)', '(put-down b)', '(unstack b c)', '(pick-up b)', '(stack b c)', '(put-down b)', '(unstack b c)', '(pick-up b)', '(stack b c)', '(put-down b)', '(unstack b c)', '(pick-up b)', '(stack b c)', '(put-down b)', '(unstack b c)', '(pick-up b)', '(stack b c)', '(put-down b)', '(unstack b c)', '(pick-up b)', '(stack b c)', '(put-down b)', '(unstack b c)', '(pick-up b)', '(stack b c)', '(put-down b)', '(unstack b c)', '(pick-up b)', '(stack b c)', '(put-down b)', '(unstack b c)']","{3: 'position', 0: 'correct', 1: 'correct', 2: 'correct', 4: 'same_act', 5: 'same_act', 6: 'same_act', 7: 'same_act', 8: 'redundant', 9: 'redundant', 10: 'redundant', 11: 'redundant', 12: 'redundant', 13: 'redundant', 14: 'redundant', 15: 'redundant', 16: 'redundant', 17: 'redundant', 18: 'redundant', 19: 'redundant', 20: 'redundant', 21: 'redundant', 22: 'redundant', 23: 'redundant', 24: 'redundant', 25: 'redundant', 26: 'redundant', 27: 'redundant', 28: 'redundant', 29: 'redundant', 30: 'redundant', 31: 'redundant', 32: 'redundant', 33: 'redundant', 34: 'redundant', 35: 'redundant', 36: 'redundant', 37: 'redundant', 38: 'redundant', 39: 'redundant', 40: 'redundant'}","{3: 'position', 0: 'correct', 1: 'correct', 2: 'correct', 4: 'same_act', 5: 'same_act', 6: 'same_act', 7: 'same_act', 8: 'correct', 9: 'correct', 10: 'correct', 11: 'correct', 12: 'correct', 13: 'correct', 14: 'correct', 15: 'correct', 16: 'correct', 17: 'correct', 18: 'correct', 19: 'correct', 20: 'correct', 21: 'correct', 22: 'correct', 23: 'correct', 24: 'correct', 25: 'correct', 26: 'correct', 27: 'correct', 28: 'correct', 29: 'correct', 30: 'correct', 31: 'correct', 32: 'correct', 33: 'correct', 34: 'correct', 35: 'correct', 36: 'correct', 37: 'correct', 38: 'correct', 39: 'correct', 40: 'correct'}",0.3414634146341463,"['(unstack a b)', '(put-down a)', '(unstack b c)', '(put-down b)', '(pick-up c)', '(stack c a)', '(pick-up b)', '(stack b c)']",[],False,-1.0,-1.9128048780487803,44,0,False,"['(unstack b c)', '(pick-up b)', '(stack b c)', '(put-down b)', '(unstack b c)', '(pick-up b)', '(stack b c)', '(put-down b)', '(unstack b c)', '(pick-up b)', '(stack b c)', '(put-down b)', '(unstack b c)', '(pick-up b)', '(stack b c)', '(put-down b)', '(unstack b c)', '(pick-up b)', '(stack b c)', '(put-down b)', '(unstack b c)', '(pick-up b)', '(stack b c)', '(put-down b)', '(unstack b c)', '(pick-up b)', '(stack b c)', '(put-down b)', '(unstack b c)', '(pick-up b)', '(stack b c)', '(put-down b)', '(unstack b c)', '(pick-up b)', '(stack b c)', '(put-down b)', '(unstack b c)', '(pick-up b)', '(stack b c)', '(put-down b)', '(unstack b c)']",-1.9128048780487803,44,0,False,"['(unstack b c)', '(put-down b)', '(pick-up b)', '(stack b c)']",1.0,8,0,False,"['(unstack b c)', '(put-down b)', '(pick-up b)', '(stack b c)']",1.0,8,0,False,"['(unstack a b)', '(put-down a)', '(unstack b c)', '(put-down b)', '(pick-up c)', '(stack c a)', '(pick-up b)', '(stack b c)']",True
gemma-2-2b_it,blocksworld_3,_zero_shot,6,"['(unstack a c)', '(put-down a)', '(unstack c b)', '(stack c a)', '(pick-up b)', '(stack b c)']","['(unstack c b)', '(pick-up c)', '(stack c a)', '(put-down c)', '(unstack a c)', '(pick-up a)', '(stack a b)', '(put-down a)']","{0: 'correct', 2: 'correct', 4: 'correct', 7: 'correct', 1: 'same_act', 3: 'diff_act', 5: 'redundant', 6: 'redundant'}","{0: 'correct', 2: 'correct', 4: 'correct', 7: 'correct', 1: 'same_act', 3: 'diff_act', 5: 'same_act', 6: 'same_act'}",1.1875,"['(unstack a c)', '(put-down a)', '(unstack c b)', '(stack c a)', '(pick-up b)', '(stack b c)']",[],False,2.307291666666667,1.9979166666666668,8,0,False,"['(unstack a c)', '(pick-up a)', '(stack a b)', '(put-down a)', '(unstack c b)', '(pick-up c)', '(stack c a)', '(put-down c)']",2.6166666666666667,7,1,False,"['(unstack a c)', '(put-down a)']",1.0,4,2,False,"['(unstack a c)', '(put-down a)', '(unstack c b)', '(stack c a)']",1.0,2,4,False,"['(unstack a c)', '(put-down a)', '(unstack c b)', '(stack c a)', '(pick-up b)', '(stack b c)']",True
gemma-2-2b_it,blocksworld_3,_zero_shot,7,"['(unstack a c)', '(put-down a)', '(pick-up b)', '(stack b c)', '(pick-up a)', '(stack a b)']","['(pick-up a)', '(unstack a c)', '(put-down a)', '(pick-up b)', '(stack b a)', '(put-down b)', '(pick-up c)', '(stack c b)', '(put-down c)', '(put-down a)', '(pick-up b)', '(stack b a)', '(put-down b)', '(pick-up c)', '(stack c b)', '(put-down c)']","{0: 'correct', 1: 'correct', 2: 'correct', 3: 'correct', 4: 'same_act', 5: 'diff_act', 6: 'redundant', 7: 'redundant', 8: 'redundant', 9: 'redundant', 10: 'redundant', 11: 'redundant', 12: 'redundant', 13: 'redundant', 14: 'redundant', 15: 'redundant'}","{0: 'correct', 1: 'correct', 2: 'correct', 3: 'correct', 4: 'same_act', 5: 'diff_act', 6: 'same_act', 7: 'same_act', 8: 'same_act', 9: 'correct', 10: 'correct', 11: 'same_act', 12: 'same_act', 13: 'same_act', 14: 'same_act', 15: 'same_act'}",0.59375,"['(unstack a c)', '(put-down a)', '(pick-up b)', '(stack b c)', '(pick-up a)', '(stack a b)']",[],False,0.8270833333333333,0.8270833333333333,16,0,False,"['(pick-up a)', '(unstack a c)', '(put-down a)', '(pick-up b)', '(stack b a)', '(put-down b)', '(pick-up c)', '(stack c b)', '(put-down c)', '(put-down a)', '(pick-up b)', '(stack b a)', '(put-down b)', '(pick-up c)', '(stack c b)', '(put-down c)']",0.8270833333333333,16,0,False,"['(unstack a c)', '(put-down a)', '(pick-up b)']",1.0,3,3,False,"['(unstack a c)', '(put-down a)', '(pick-up b)']",1.0,3,3,False,"['(unstack a c)', '(put-down a)', '(pick-up b)', '(stack b c)', '(pick-up a)', '(stack a b)']",True
gemma-2-2b_it,blocksworld_3,_zero_shot,8,"['(pick-up a)', '(stack a c)']","['(pick-up a)', '(put-down a)', '(pick-up c)', '(put-down c)', '(pick-up a)', '(stack a c)', '(stack c a)', '(pick-up a)', '(put-down a)', '(pick-up c)', '(put-down c)', '(pick-up a)', '(stack a c)']","{0: 'position', 5: 'correct', 1: 'redundant', 2: 'redundant', 3: 'redundant', 4: 'redundant', 6: 'redundant', 7: 'redundant', 8: 'redundant', 9: 'redundant', 10: 'redundant', 11: 'redundant', 12: 'redundant'}","{0: 'position', 5: 'correct', 1: 'diff_act', 2: 'same_act', 3: 'diff_act', 4: 'correct', 6: 'same_act', 7: 'correct', 8: 'diff_act', 9: 'same_act', 10: 'diff_act', 11: 'correct', 12: 'correct'}",0.4615384615384615,[],"['(pick-up a)', '(put-down a)', '(pick-up c)', '(put-down c)', '(pick-up a)', '(stack a c)']",False,-1.0,-3.076923076923077,11,6,False,"['(pick-up a)', '(put-down a)', '(pick-up c)', '(put-down c)', '(pick-up a)', '(stack a c)', '(stack c a)', '(pick-up a)', '(put-down a)', '(pick-up c)', '(put-down c)', '(pick-up a)', '(stack a c)']",-3.076923076923077,11,6,False,"['(pick-up a)', '(stack a c)']",1.0,0,2,True,"['(pick-up a)', '(stack a c)']",1.0,0,2,True,"['(pick-up a)', '(put-down a)', '(pick-up c)', '(put-down c)', '(pick-up a)', '(stack a c)']",True
gemma-2-2b_it,blocksworld_3,_zero_shot,9,"['(unstack a c)', '(put-down a)', '(pick-up c)', '(stack c a)']","['(pick-up a)', '(stack a c)', '(put-down a)', '(pick-up b)', '(stack b c)', '(put-down b)', '(pick-up b)', '(stack b c)', '(put-down b)', '(pick-up b)', '(stack b c)', '(put-down b)', '(pick-up b)', '(stack b c)', '(put-down b)', '(pick-up b)', '(stack b c)', '(put-down b)', '(pick-up b)', '(stack b c)', '(put-down b)', '(pick-up b)', '(stack b c)', '(put-down b)', '(pick-up b)', '(stack b c)', '(put-down b)', '(pick-up b)', '(stack b c)', '(put-down b)', '(pick-up b)']","{2: 'correct', 0: 'same_act', 1: 'same_act', 4: 'diff_act', 5: 'redundant', 6: 'redundant', 7: 'redundant', 8: 'redundant', 9: 'redundant', 10: 'redundant', 11: 'redundant', 12: 'redundant', 13: 'redundant', 14: 'redundant', 15: 'redundant', 16: 'redundant', 17: 'redundant', 18: 'redundant', 19: 'redundant', 20: 'redundant', 21: 'redundant', 22: 'redundant', 23: 'redundant', 24: 'redundant', 25: 'redundant', 26: 'redundant', 27: 'redundant', 28: 'redundant', 29: 'redundant', 30: 'redundant', 3: 'redundant'}","{2: 'correct', 0: 'same_act', 1: 'same_act', 4: 'diff_act', 5: 'same_act', 6: 'same_act', 7: 'same_act', 8: 'same_act', 9: 'same_act', 10: 'same_act', 11: 'same_act', 12: 'same_act', 13: 'same_act', 14: 'same_act', 15: 'same_act', 16: 'same_act', 17: 'same_act', 18: 'same_act', 19: 'same_act', 20: 'same_act', 21: 'same_act', 22: 'same_act', 23: 'same_act', 24: 'same_act', 25: 'same_act', 26: 'same_act', 27: 'same_act', 28: 'same_act', 29: 'same_act', 30: 'same_act', 3: 'same_act'}",0.1451612903225806,"['(unstack a c)', '(put-down a)', '(pick-up c)', '(stack c a)']",[],False,-1.0,-4.638709677419355,31,0,False,"['(pick-up a)', '(stack a b)', '(put-down a)', '(pick-up c)', '(stack c b)', '(put-down c)', '(pick-up c)', '(stack c b)', '(put-down c)', '(pick-up c)', '(stack c b)', '(put-down c)', '(pick-up c)', '(stack c b)', '(put-down c)', '(pick-up c)', '(stack c b)', '(put-down c)', '(pick-up c)', '(stack c b)', '(put-down c)', '(pick-up c)', '(stack c b)', '(put-down c)', '(pick-up c)', '(stack c b)', '(put-down c)', '(pick-up c)', '(stack c b)', '(put-down c)', '(pick-up c)']",-4.586021505376344,31,0,False,['(put-down a)'],1.0,4,0,False,"['(put-down a)', '(pick-up c)']",1.0,4,0,False,"['(unstack a c)', '(put-down a)', '(pick-up c)', '(stack c a)']",True
gemma-2-2b_it,blocksworld_3,_zero_shot,10,"['(unstack b c)', '(put-down b)', '(pick-up c)', '(stack c b)', '(pick-up a)', '(stack a c)']","['(pick-up a)', '(unstack a b)', '(put-down a)', '(pick-up b)', '(unstack b c)', '(put-down b)', '(pick-up c)', '(stack c b)', '(pick-up a)', '(stack a c)']","{0: 'correct', 4: 'correct', 5: 'correct', 6: 'correct', 7: 'correct', 9: 'correct', 1: 'redundant', 2: 'redundant', 3: 'redundant', 8: 'redundant'}","{0: 'correct', 4: 'correct', 5: 'correct', 6: 'correct', 7: 'correct', 9: 'correct', 1: 'same_act', 2: 'same_act', 3: 'same_act', 8: 'correct'}",1.2,"['(unstack b c)', '(put-down b)', '(pick-up c)', '(stack c b)', '(pick-up a)', '(stack a c)']",[],False,2.9833333333333334,2.833333333333333,9,1,False,"['(unstack b c)', '(put-down b)', '(pick-up c)', '(stack c b)', '(pick-up a)', '(stack a c)', '(pick-up a)', '(unstack a b)', '(put-down a)', '(pick-up b)']",3.1333333333333333,4,4,False,"['(unstack b c)', '(put-down b)', '(pick-up c)', '(stack c b)', '(pick-up a)', '(stack a c)']",1.0,0,6,True,"['(unstack b c)', '(put-down b)', '(pick-up c)', '(stack c b)', '(pick-up a)', '(stack a c)']",1.0,0,6,True,"['(unstack b c)', '(put-down b)', '(pick-up c)', '(stack c b)', '(pick-up a)', '(stack a c)']",True
