model,domain,task,instance_id,gt_plan,curr_plan,plan_trace,nr_plan_trace,trace_score,complementary_plan,correct_part,executability,final_score,curr_score,curr_steps,curr_last_act,curr_validity,cdt_plan,cdt_score,cdt_steps,cdt_last_act,cdt_validity,subseq_plan,subseq_score,subseq_steps,subseq_last_act,subseq_validity,cdt_subseq_plan,cdt_subseq_score,cdt_subseq_steps,cdt_subseq_last_act,cdt_subseq_validity,improved_plan,improved_validity
o3-mini_chat,logistics,_zero_shot,1,"['(fly-airplane a1 l0-0 l1-0)', '(load-airplane p0 a1 l1-0)', '(fly-airplane a1 l1-0 l0-0)', '(unload-airplane p0 a1 l0-0)']","['(fly-airplane a0 l0-0 l1-0)', '(load-airplane p0 a0 l1-0)', '(fly-airplane a0 l1-0 l0-0)', '(unload-airplane p0 a0 l0-0)']","{0: 'same_act', 1: 'same_act', 2: 'same_act', 3: 'same_act'}","{0: 'same_act', 1: 'same_act', 2: 'same_act', 3: 'same_act'}",1.0,[],"['(fly-airplane a0 l0-0 l1-0)', '(load-airplane p0 a0 l1-0)', '(fly-airplane a0 l1-0 l0-0)', '(unload-airplane p0 a0 l0-0)']",True,4.0,4.0,0,4,True,"['(fly-airplane a0 l0-0 l1-0)', '(load-airplane p0 a0 l1-0)', '(fly-airplane a0 l1-0 l0-0)', '(unload-airplane p0 a0 l0-0)']",4.0,0,4,True,"['(fly-airplane a0 l0-0 l1-0)', '(load-airplane p0 a0 l1-0)', '(fly-airplane a0 l1-0 l0-0)', '(unload-airplane p0 a0 l0-0)']",1.0,0,4,True,"['(fly-airplane a0 l0-0 l1-0)', '(load-airplane p0 a0 l1-0)', '(fly-airplane a0 l1-0 l0-0)', '(unload-airplane p0 a0 l0-0)']",1.0,0,4,True,"['(fly-airplane a0 l0-0 l1-0)', '(load-airplane p0 a0 l1-0)', '(fly-airplane a0 l1-0 l0-0)', '(unload-airplane p0 a0 l0-0)']",True
o3-mini_chat,logistics,_zero_shot,2,"['(load-airplane p0 a1 l1-0)', '(fly-airplane a1 l1-0 l0-0)', '(unload-airplane p0 a1 l0-0)']","['(load-airplane p0 a0 l1-0)', '(fly-airplane a0 l1-0 l0-0)', '(unload-airplane p0 a0 l0-0)']","{0: 'same_act', 1: 'same_act', 2: 'same_act'}","{0: 'same_act', 1: 'same_act', 2: 'same_act'}",1.0,[],"['(load-airplane p0 a0 l1-0)', '(fly-airplane a0 l1-0 l0-0)', '(unload-airplane p0 a0 l0-0)']",True,4.0,4.0,0,3,True,"['(load-airplane p0 a0 l1-0)', '(fly-airplane a0 l1-0 l0-0)', '(unload-airplane p0 a0 l0-0)']",4.0,0,3,True,"['(load-airplane p0 a0 l1-0)', '(fly-airplane a0 l1-0 l0-0)', '(unload-airplane p0 a0 l0-0)']",1.0,0,3,True,"['(load-airplane p0 a0 l1-0)', '(fly-airplane a0 l1-0 l0-0)', '(unload-airplane p0 a0 l0-0)']",1.0,0,3,True,"['(load-airplane p0 a0 l1-0)', '(fly-airplane a0 l1-0 l0-0)', '(unload-airplane p0 a0 l0-0)']",True
o3-mini_chat,logistics,_zero_shot,3,"['(fly-airplane a0 l1-0 l0-0)', '(load-airplane p1 a0 l0-0)', '(fly-airplane a0 l0-0 l1-0)', '(unload-airplane p1 a0 l1-0)']","['(fly-airplane a0 l1-0 l0-0)', '(load-airplane p1 a0 l0-0)', '(fly-airplane a0 l0-0 l1-0)', '(unload-airplane p1 a0 l1-0)']","{0: 'position', 1: 'position', 2: 'position', 3: 'position'}","{0: 'position', 1: 'position', 2: 'position', 3: 'position'}",4.0,[],"['(fly-airplane a0 l1-0 l0-0)', '(load-airplane p1 a0 l0-0)', '(fly-airplane a0 l0-0 l1-0)', '(unload-airplane p1 a0 l1-0)']",True,4.0,4.0,0,4,True,"['(fly-airplane a0 l1-0 l0-0)', '(load-airplane p1 a0 l0-0)', '(fly-airplane a0 l0-0 l1-0)', '(unload-airplane p1 a0 l1-0)']",4.0,0,4,True,"['(fly-airplane a0 l1-0 l0-0)', '(load-airplane p1 a0 l0-0)', '(fly-airplane a0 l0-0 l1-0)', '(unload-airplane p1 a0 l1-0)']",1.0,0,4,True,"['(fly-airplane a0 l1-0 l0-0)', '(load-airplane p1 a0 l0-0)', '(fly-airplane a0 l0-0 l1-0)', '(unload-airplane p1 a0 l1-0)']",1.0,0,4,True,"['(fly-airplane a0 l1-0 l0-0)', '(load-airplane p1 a0 l0-0)', '(fly-airplane a0 l0-0 l1-0)', '(unload-airplane p1 a0 l1-0)']",True
o3-mini_chat,logistics,_zero_shot,4,"['(load-airplane p1 a0 l1-0)', '(load-airplane p0 a0 l1-0)', '(fly-airplane a0 l1-0 l0-0)', '(unload-airplane p1 a0 l0-0)', '(unload-airplane p0 a0 l0-0)']","['(load-airplane p0 a0 l1-0)', '(load-airplane p1 a0 l1-0)', '(fly-airplane a0 l1-0 l0-0)', '(unload-airplane p0 a0 l0-0)', '(unload-airplane p1 a0 l0-0)']","{2: 'position', 0: 'correct', 1: 'correct', 3: 'correct', 4: 'correct'}","{2: 'position', 0: 'correct', 1: 'correct', 3: 'correct', 4: 'correct'}",2.4,[],"['(load-airplane p0 a0 l1-0)', '(load-airplane p1 a0 l1-0)', '(fly-airplane a0 l1-0 l0-0)', '(unload-airplane p0 a0 l0-0)', '(unload-airplane p1 a0 l0-0)']",True,4.0,4.0,0,5,True,"['(load-airplane p0 a0 l1-0)', '(load-airplane p1 a0 l1-0)', '(fly-airplane a0 l1-0 l0-0)', '(unload-airplane p0 a0 l0-0)', '(unload-airplane p1 a0 l0-0)']",4.0,0,5,True,"['(load-airplane p0 a0 l1-0)', '(load-airplane p1 a0 l1-0)', '(fly-airplane a0 l1-0 l0-0)', '(unload-airplane p0 a0 l0-0)', '(unload-airplane p1 a0 l0-0)']",1.0,0,5,True,"['(load-airplane p0 a0 l1-0)', '(load-airplane p1 a0 l1-0)', '(fly-airplane a0 l1-0 l0-0)', '(unload-airplane p0 a0 l0-0)', '(unload-airplane p1 a0 l0-0)']",1.0,0,5,True,"['(load-airplane p0 a0 l1-0)', '(load-airplane p1 a0 l1-0)', '(fly-airplane a0 l1-0 l0-0)', '(unload-airplane p0 a0 l0-0)', '(unload-airplane p1 a0 l0-0)']",True
o3-mini_chat,logistics,_zero_shot,5,"['(fly-airplane a1 l0-0 l1-0)', '(load-airplane p1 a1 l1-0)', '(fly-airplane a1 l1-0 l0-0)', '(unload-airplane p1 a1 l0-0)']","['(fly-airplane a0 l0-0 l1-0)', '(load-airplane p1 a0 l1-0)', '(fly-airplane a0 l1-0 l0-0)', '(unload-airplane p1 a0 l0-0)']","{0: 'same_act', 1: 'same_act', 2: 'same_act', 3: 'same_act'}","{0: 'same_act', 1: 'same_act', 2: 'same_act', 3: 'same_act'}",1.0,[],"['(fly-airplane a0 l0-0 l1-0)', '(load-airplane p1 a0 l1-0)', '(fly-airplane a0 l1-0 l0-0)', '(unload-airplane p1 a0 l0-0)']",True,4.0,4.0,0,4,True,"['(fly-airplane a0 l0-0 l1-0)', '(load-airplane p1 a0 l1-0)', '(fly-airplane a0 l1-0 l0-0)', '(unload-airplane p1 a0 l0-0)']",4.0,0,4,True,"['(fly-airplane a0 l0-0 l1-0)', '(load-airplane p1 a0 l1-0)', '(fly-airplane a0 l1-0 l0-0)', '(unload-airplane p1 a0 l0-0)']",1.0,0,4,True,"['(fly-airplane a0 l0-0 l1-0)', '(load-airplane p1 a0 l1-0)', '(fly-airplane a0 l1-0 l0-0)', '(unload-airplane p1 a0 l0-0)']",1.0,0,4,True,"['(fly-airplane a0 l0-0 l1-0)', '(load-airplane p1 a0 l1-0)', '(fly-airplane a0 l1-0 l0-0)', '(unload-airplane p1 a0 l0-0)']",True
o3-mini_chat,logistics,_zero_shot,6,"['(load-truck p0 t1 l1-0)', '(drive-truck t1 l1-0 l1-1 c1)', '(unload-truck p0 t1 l1-1)']","['(load-truck p0 t1 l1-0)', '(drive-truck t1 l1-0 l1-1 c1)', '(unload-truck p0 t1 l1-1)']","{0: 'position', 1: 'position', 2: 'position'}","{0: 'position', 1: 'position', 2: 'position'}",4.0,[],"['(load-truck p0 t1 l1-0)', '(drive-truck t1 l1-0 l1-1 c1)', '(unload-truck p0 t1 l1-1)']",True,4.0,4.0,0,3,True,"['(load-truck p0 t1 l1-0)', '(drive-truck t1 l1-0 l1-1 c1)', '(unload-truck p0 t1 l1-1)']",4.0,0,3,True,"['(load-truck p0 t1 l1-0)', '(drive-truck t1 l1-0 l1-1 c1)', '(unload-truck p0 t1 l1-1)']",1.0,0,3,True,"['(load-truck p0 t1 l1-0)', '(drive-truck t1 l1-0 l1-1 c1)', '(unload-truck p0 t1 l1-1)']",1.0,0,3,True,"['(load-truck p0 t1 l1-0)', '(drive-truck t1 l1-0 l1-1 c1)', '(unload-truck p0 t1 l1-1)']",True
o3-mini_chat,logistics,_zero_shot,7,"['(drive-truck t0 l0-0 l0-1 c0)', '(load-truck p0 t0 l0-1)', '(drive-truck t0 l0-1 l0-0 c0)', '(unload-truck p0 t0 l0-0)', '(load-airplane p0 a0 l0-0)', '(fly-airplane a0 l0-0 l1-0)', '(unload-airplane p0 a0 l1-0)']","['(drive-truck t0 l0-0 l0-1 c0)', '(load-truck p0 t0 l0-1)', '(drive-truck t0 l0-1 l0-0 c0)', '(unload-truck p0 t0 l0-0)', '(load-airplane p0 a0 l0-0)', '(fly-airplane a0 l0-0 l1-0)', '(unload-airplane p0 a0 l1-0)']","{0: 'position', 1: 'position', 2: 'position', 3: 'position', 4: 'position', 5: 'position', 6: 'position'}","{0: 'position', 1: 'position', 2: 'position', 3: 'position', 4: 'position', 5: 'position', 6: 'position'}",4.0,[],"['(drive-truck t0 l0-0 l0-1 c0)', '(load-truck p0 t0 l0-1)', '(drive-truck t0 l0-1 l0-0 c0)', '(unload-truck p0 t0 l0-0)', '(load-airplane p0 a0 l0-0)', '(fly-airplane a0 l0-0 l1-0)', '(unload-airplane p0 a0 l1-0)']",True,4.0,4.0,0,7,True,"['(drive-truck t0 l0-0 l0-1 c0)', '(load-truck p0 t0 l0-1)', '(drive-truck t0 l0-1 l0-0 c0)', '(unload-truck p0 t0 l0-0)', '(load-airplane p0 a0 l0-0)', '(fly-airplane a0 l0-0 l1-0)', '(unload-airplane p0 a0 l1-0)']",4.0,0,7,True,"['(drive-truck t0 l0-0 l0-1 c0)', '(load-truck p0 t0 l0-1)', '(drive-truck t0 l0-1 l0-0 c0)', '(unload-truck p0 t0 l0-0)', '(load-airplane p0 a0 l0-0)', '(fly-airplane a0 l0-0 l1-0)', '(unload-airplane p0 a0 l1-0)']",1.0,0,7,True,"['(drive-truck t0 l0-0 l0-1 c0)', '(load-truck p0 t0 l0-1)', '(drive-truck t0 l0-1 l0-0 c0)', '(unload-truck p0 t0 l0-0)', '(load-airplane p0 a0 l0-0)', '(fly-airplane a0 l0-0 l1-0)', '(unload-airplane p0 a0 l1-0)']",1.0,0,7,True,"['(drive-truck t0 l0-0 l0-1 c0)', '(load-truck p0 t0 l0-1)', '(drive-truck t0 l0-1 l0-0 c0)', '(unload-truck p0 t0 l0-0)', '(load-airplane p0 a0 l0-0)', '(fly-airplane a0 l0-0 l1-0)', '(unload-airplane p0 a0 l1-0)']",True
o3-mini_chat,logistics,_zero_shot,8,"['(load-truck p0 t1 l1-1)', '(drive-truck t1 l1-1 l1-0 c1)', '(unload-truck p0 t1 l1-0)', '(load-airplane p0 a0 l1-0)', '(fly-airplane a0 l1-0 l0-0)', '(unload-airplane p0 a0 l0-0)']","['(load-truck p0 t1 l1-1)', '(drive-truck t1 l1-1 l1-0 c1)', '(unload-truck p0 t1 l1-0)', '(load-airplane p0 a0 l1-0)', '(fly-airplane a0 l1-0 l0-0)', '(unload-airplane p0 a0 l0-0)']","{0: 'position', 1: 'position', 2: 'position', 3: 'position', 4: 'position', 5: 'position'}","{0: 'position', 1: 'position', 2: 'position', 3: 'position', 4: 'position', 5: 'position'}",4.0,[],"['(load-truck p0 t1 l1-1)', '(drive-truck t1 l1-1 l1-0 c1)', '(unload-truck p0 t1 l1-0)', '(load-airplane p0 a0 l1-0)', '(fly-airplane a0 l1-0 l0-0)', '(unload-airplane p0 a0 l0-0)']",True,4.0,4.0,0,6,True,"['(load-truck p0 t1 l1-1)', '(drive-truck t1 l1-1 l1-0 c1)', '(unload-truck p0 t1 l1-0)', '(load-airplane p0 a0 l1-0)', '(fly-airplane a0 l1-0 l0-0)', '(unload-airplane p0 a0 l0-0)']",4.0,0,6,True,"['(load-truck p0 t1 l1-1)', '(drive-truck t1 l1-1 l1-0 c1)', '(unload-truck p0 t1 l1-0)', '(load-airplane p0 a0 l1-0)', '(fly-airplane a0 l1-0 l0-0)', '(unload-airplane p0 a0 l0-0)']",1.0,0,6,True,"['(load-truck p0 t1 l1-1)', '(drive-truck t1 l1-1 l1-0 c1)', '(unload-truck p0 t1 l1-0)', '(load-airplane p0 a0 l1-0)', '(fly-airplane a0 l1-0 l0-0)', '(unload-airplane p0 a0 l0-0)']",1.0,0,6,True,"['(load-truck p0 t1 l1-1)', '(drive-truck t1 l1-1 l1-0 c1)', '(unload-truck p0 t1 l1-0)', '(load-airplane p0 a0 l1-0)', '(fly-airplane a0 l1-0 l0-0)', '(unload-airplane p0 a0 l0-0)']",True
o3-mini_chat,logistics,_zero_shot,9,"['(load-truck p0 t1 l1-1)', '(drive-truck t1 l1-1 l1-0 c1)', '(unload-truck p0 t1 l1-0)']","['(load-truck p0 t1 l1-1)', '(drive-truck t1 l1-1 l1-0 c1)', '(unload-truck p0 t1 l1-0)']","{0: 'position', 1: 'position', 2: 'position'}","{0: 'position', 1: 'position', 2: 'position'}",4.0,[],"['(load-truck p0 t1 l1-1)', '(drive-truck t1 l1-1 l1-0 c1)', '(unload-truck p0 t1 l1-0)']",True,4.0,4.0,0,3,True,"['(load-truck p0 t1 l1-1)', '(drive-truck t1 l1-1 l1-0 c1)', '(unload-truck p0 t1 l1-0)']",4.0,0,3,True,"['(load-truck p0 t1 l1-1)', '(drive-truck t1 l1-1 l1-0 c1)', '(unload-truck p0 t1 l1-0)']",1.0,0,3,True,"['(load-truck p0 t1 l1-1)', '(drive-truck t1 l1-1 l1-0 c1)', '(unload-truck p0 t1 l1-0)']",1.0,0,3,True,"['(load-truck p0 t1 l1-1)', '(drive-truck t1 l1-1 l1-0 c1)', '(unload-truck p0 t1 l1-0)']",True
o3-mini_chat,logistics,_zero_shot,10,"['(load-truck p1 t0 l0-0)', '(load-truck p0 t0 l0-0)', '(drive-truck t0 l0-0 l0-1 c0)', '(unload-truck p1 t0 l0-1)', '(unload-truck p0 t0 l0-1)']","['(load-truck p0 t0 l0-0)', '(load-truck p1 t0 l0-0)', '(drive-truck t0 l0-0 l0-1 c0)', '(unload-truck p0 t0 l0-1)', '(unload-truck p1 t0 l0-1)']","{2: 'position', 0: 'correct', 1: 'correct', 3: 'correct', 4: 'correct'}","{2: 'position', 0: 'correct', 1: 'correct', 3: 'correct', 4: 'correct'}",2.4,[],"['(load-truck p0 t0 l0-0)', '(load-truck p1 t0 l0-0)', '(drive-truck t0 l0-0 l0-1 c0)', '(unload-truck p0 t0 l0-1)', '(unload-truck p1 t0 l0-1)']",True,4.0,4.0,0,5,True,"['(load-truck p0 t0 l0-0)', '(load-truck p1 t0 l0-0)', '(drive-truck t0 l0-0 l0-1 c0)', '(unload-truck p0 t0 l0-1)', '(unload-truck p1 t0 l0-1)']",4.0,0,5,True,"['(load-truck p0 t0 l0-0)', '(load-truck p1 t0 l0-0)', '(drive-truck t0 l0-0 l0-1 c0)', '(unload-truck p0 t0 l0-1)', '(unload-truck p1 t0 l0-1)']",1.0,0,5,True,"['(load-truck p0 t0 l0-0)', '(load-truck p1 t0 l0-0)', '(drive-truck t0 l0-0 l0-1 c0)', '(unload-truck p0 t0 l0-1)', '(unload-truck p1 t0 l0-1)']",1.0,0,5,True,"['(load-truck p0 t0 l0-0)', '(load-truck p1 t0 l0-0)', '(drive-truck t0 l0-0 l0-1 c0)', '(unload-truck p0 t0 l0-1)', '(unload-truck p1 t0 l0-1)']",True
