model,domain,task,instance_id,gt_plan,curr_plan,plan_trace,nr_plan_trace,trace_score,complementary_plan,correct_part,executability,final_score,curr_score,curr_steps,curr_last_act,curr_validity,cdt_plan,cdt_score,cdt_steps,cdt_last_act,cdt_validity,subseq_plan,subseq_score,subseq_steps,subseq_last_act,subseq_validity,cdt_subseq_plan,cdt_subseq_score,cdt_subseq_steps,cdt_subseq_last_act,cdt_subseq_validity,improved_plan,improved_validity
gemini_2-5_pro,logistics,_one_shot,2,"['(load-airplane p0 a1 l1-0)', '(fly-airplane a1 l1-0 l0-0)', '(unload-airplane p0 a1 l0-0)']","['(load-airplane p0 a1 l1-0)', '(fly-airplane a1 l1-0 l0-0)', '(unload-airplane p0 a1 l0-0)']","{0: 'position', 1: 'position', 2: 'position'}","{0: 'position', 1: 'position', 2: 'position'}",4.0,[],"['(load-airplane p0 a1 l1-0)', '(fly-airplane a1 l1-0 l0-0)', '(unload-airplane p0 a1 l0-0)']",True,4.0,4.0,0,3,True,"['(load-airplane p0 a1 l1-0)', '(fly-airplane a1 l1-0 l0-0)', '(unload-airplane p0 a1 l0-0)']",4.0,0,3,True,"['(load-airplane p0 a1 l1-0)', '(fly-airplane a1 l1-0 l0-0)', '(unload-airplane p0 a1 l0-0)']",1.0,0,3,True,"['(load-airplane p0 a1 l1-0)', '(fly-airplane a1 l1-0 l0-0)', '(unload-airplane p0 a1 l0-0)']",1.0,0,3,True,"['(load-airplane p0 a1 l1-0)', '(fly-airplane a1 l1-0 l0-0)', '(unload-airplane p0 a1 l0-0)']",True
gemini_2-5_pro,logistics,_one_shot,4,"['(load-airplane p1 a0 l1-0)', '(load-airplane p0 a0 l1-0)', '(fly-airplane a0 l1-0 l0-0)', '(unload-airplane p1 a0 l0-0)', '(unload-airplane p0 a0 l0-0)']","['(load-airplane p0 a0 l1-0)', '(fly-airplane a0 l1-0 l0-0)', '(unload-airplane p0 a0 l0-0)', '(load-airplane p1 a0 l1-0)', '(fly-airplane a0 l1-0 l0-0)', '(unload-airplane p1 a0 l0-0)']","{0: 'correct', 1: 'correct', 2: 'correct', 3: 'correct', 5: 'correct', 4: 'redundant'}","{0: 'correct', 1: 'correct', 2: 'correct', 3: 'correct', 5: 'correct', 4: 'correct'}",1.6666666666666667,"['(load-airplane p1 a0 l1-0)', '(load-airplane p0 a0 l1-0)', '(fly-airplane a0 l1-0 l0-0)', '(unload-airplane p1 a0 l0-0)', '(unload-airplane p0 a0 l0-0)']",[],True,2.6708333333333334,2.5500000000000003,6,6,False,"['(load-airplane l1-0 a0 p0)', '(fly-airplane a0 p0 l0-0)', '(unload-airplane l1-0 a0 l0-0)', '(load-airplane p1 a0 p0)', '(fly-airplane a0 p0 l0-0)', '(unload-airplane p1 a0 l0-0)']",2.7916666666666665,6,0,False,"['(load-airplane p1 a0 l1-0)', '(fly-airplane a0 l1-0 l0-0)', '(unload-airplane p1 a0 l0-0)']",1.0,4,3,False,['(unload-airplane p1 a0 l0-0)'],1.0,5,0,False,"['(load-airplane p1 a0 l1-0)', '(load-airplane p0 a0 l1-0)', '(fly-airplane a0 l1-0 l0-0)', '(unload-airplane p1 a0 l0-0)', '(unload-airplane p0 a0 l0-0)']",True
gemini_2-5_pro,logistics,_one_shot,6,"['(load-truck p0 t1 l1-0)', '(drive-truck t1 l1-0 l1-1 c1)', '(unload-truck p0 t1 l1-1)']","['(load-truck p0 t1 l1-0)', '(drive-truck t1 l1-0 l1-1 c1)', '(unload-truck p0 t1 l1-1)']","{0: 'position', 1: 'position', 2: 'position'}","{0: 'position', 1: 'position', 2: 'position'}",4.0,"['(load-truck p0 t1 l1-0)', '(drive-truck t1 l1-0 l1-1 c1)', '(unload-truck p0 t1 l1-1)']",[],True,4.0,4.0,0,3,True,"['(load-truck p0 t1 l1-0)', '(drive-truck t1 l1-0 l1-1 c1)', '(unload-truck p0 t1 l1-1)']",4.0,0,3,True,"['(load-truck p0 t1 l1-0)', '(drive-truck t1 l1-0 l1-1 c1)', '(unload-truck p0 t1 l1-1)']",1.0,0,3,True,"['(load-truck p0 t1 l1-0)', '(drive-truck t1 l1-0 l1-1 c1)', '(unload-truck p0 t1 l1-1)']",1.0,0,3,True,"['(load-truck p0 t1 l1-0)', '(drive-truck t1 l1-0 l1-1 c1)', '(unload-truck p0 t1 l1-1)']",True
gemini_2-5_pro,logistics,_one_shot,7,"['(drive-truck t0 l0-0 l0-1 c0)', '(load-truck p0 t0 l0-1)', '(drive-truck t0 l0-1 l0-0 c0)', '(unload-truck p0 t0 l0-0)', '(load-airplane p0 a0 l0-0)', '(fly-airplane a0 l0-0 l1-0)', '(unload-airplane p0 a0 l1-0)']","['(load-truck p0 t0 l0-1)', '(drive-truck t0 l0-1 l0-0 c0)', '(unload-truck p0 t0 l0-0)', '(load-airplane p0 a0 l0-0)', '(fly-airplane a0 c0 c1)', '(unload-airplane p0 a0 l1-0)']","{0: 'correct', 1: 'correct', 2: 'correct', 3: 'correct', 5: 'correct', 4: 'same_act'}","{0: 'correct', 1: 'correct', 2: 'correct', 3: 'correct', 5: 'correct', 4: 'same_act'}",1.8333333333333333,"['(drive-truck t0 l0-0 l0-1 c0)', '(load-truck p0 t0 l0-1)', '(drive-truck t0 l0-1 l0-0 c0)', '(unload-truck p0 t0 l0-0)', '(load-airplane p0 a0 l0-0)', '(fly-airplane a0 l0-0 l1-0)', '(unload-airplane p0 a0 l1-0)']",[],False,3.827380952380953,3.827380952380953,7,0,False,"['(load-truck p0 t0 l0-1)', '(drive-truck t0 l0-1 l0-0 c0)', '(unload-truck p0 t0 l0-0)', '(load-airplane p0 a0 l0-0)', '(fly-airplane a0 c0 c1)', '(unload-airplane p0 a0 l1-0)']",3.827380952380953,7,0,False,"['(load-truck p0 t0 l0-1)', '(drive-truck t0 l0-1 l0-0 c0)', '(unload-truck p0 t0 l0-0)', '(load-airplane p0 a0 l0-0)', '(unload-airplane p0 a0 l1-0)']",1.0,7,0,False,"['(load-truck p0 t0 l0-1)', '(drive-truck t0 l0-1 l0-0 c0)', '(unload-truck p0 t0 l0-0)', '(load-airplane p0 a0 l0-0)', '(unload-airplane p0 a0 l1-0)']",1.0,7,0,False,"['(drive-truck t0 l0-0 l0-1 c0)', '(load-truck p0 t0 l0-1)', '(drive-truck t0 l0-1 l0-0 c0)', '(unload-truck p0 t0 l0-0)', '(load-airplane p0 a0 l0-0)', '(fly-airplane a0 l0-0 l1-0)', '(unload-airplane p0 a0 l1-0)']",False
gemini_2-5_pro,logistics,_one_shot,8,"['(load-truck p0 t1 l1-1)', '(drive-truck t1 l1-1 l1-0 c1)', '(unload-truck p0 t1 l1-0)', '(load-airplane p0 a0 l1-0)', '(fly-airplane a0 l1-0 l0-0)', '(unload-airplane p0 a0 l0-0)']","['(drive-truck t1 l1-1 l1-0 c1)', '(load-airplane p0 a0 l1-0)', '(fly-airplane a0 l1-0 l0-0)', '(unload-airplane p0 a0 l0-0)']","{0: 'correct', 1: 'correct', 2: 'correct', 3: 'correct'}","{0: 'correct', 1: 'correct', 2: 'correct', 3: 'correct'}",2.0,"['(load-truck p0 t1 l1-1)', '(drive-truck t1 l1-1 l1-0 c1)', '(unload-truck p0 t1 l1-0)', '(load-airplane p0 a0 l1-0)', '(fly-airplane a0 l1-0 l0-0)', '(unload-airplane p0 a0 l0-0)']",[],False,3.7041666666666666,3.6666666666666665,6,1,False,"['(drive-truck l1-1 t1 l1-0 c1)', '(load-airplane p0 a0 l1-0)', '(fly-airplane a0 l1-0 l0-0)', '(unload-airplane p0 a0 l0-0)']",3.741666666666666,6,0,False,"['(drive-truck t1 l1-1 l1-0 c1)', '(load-airplane p0 a0 l1-0)', '(fly-airplane a0 l1-0 l0-0)', '(unload-airplane p0 a0 l0-0)']",1.0,6,1,False,"['(load-airplane p0 a0 l1-0)', '(fly-airplane a0 l1-0 l0-0)', '(unload-airplane p0 a0 l0-0)']",1.0,6,0,False,"['(load-truck p0 t1 l1-1)', '(drive-truck t1 l1-1 l1-0 c1)', '(unload-truck p0 t1 l1-0)', '(load-airplane p0 a0 l1-0)', '(fly-airplane a0 l1-0 l0-0)', '(unload-airplane p0 a0 l0-0)']",True
gemini_2-5_pro,logistics,_one_shot,9,"['(load-truck p0 t1 l1-1)', '(drive-truck t1 l1-1 l1-0 c1)', '(unload-truck p0 t1 l1-0)']","['(load-truck p0 t1 l1-1)', '(drive-truck t1 l1-1 l1-0 c1)', '(unload-truck p0 t1 l1-0)']","{0: 'position', 1: 'position', 2: 'position'}","{0: 'position', 1: 'position', 2: 'position'}",4.0,[],"['(load-truck p0 t1 l1-1)', '(drive-truck t1 l1-1 l1-0 c1)', '(unload-truck p0 t1 l1-0)']",True,4.0,4.0,0,3,True,"['(load-truck p0 t1 l1-1)', '(drive-truck t1 l1-1 l1-0 c1)', '(unload-truck p0 t1 l1-0)']",4.0,0,3,True,"['(load-truck p0 t1 l1-1)', '(drive-truck t1 l1-1 l1-0 c1)', '(unload-truck p0 t1 l1-0)']",1.0,0,3,True,"['(load-truck p0 t1 l1-1)', '(drive-truck t1 l1-1 l1-0 c1)', '(unload-truck p0 t1 l1-0)']",1.0,0,3,True,"['(load-truck p0 t1 l1-1)', '(drive-truck t1 l1-1 l1-0 c1)', '(unload-truck p0 t1 l1-0)']",True
gemini_2-5_pro,logistics,_one_shot,10,"['(load-truck p1 t0 l0-0)', '(load-truck p0 t0 l0-0)', '(drive-truck t0 l0-0 l0-1 c0)', '(unload-truck p1 t0 l0-1)', '(unload-truck p0 t0 l0-1)']","['(load-truck p0 t0 l0-0)', '(load-truck p1 t0 l0-0)', '(drive-truck t0 l0-0 l0-1 c0)', '(unload-truck p0 t0 l0-1)', '(unload-truck p1 t0 l0-1)']","{2: 'position', 0: 'correct', 1: 'correct', 3: 'correct', 4: 'correct'}","{2: 'position', 0: 'correct', 1: 'correct', 3: 'correct', 4: 'correct'}",2.4,[],"['(load-truck p0 t0 l0-0)', '(load-truck p1 t0 l0-0)', '(drive-truck t0 l0-0 l0-1 c0)', '(unload-truck p0 t0 l0-1)', '(unload-truck p1 t0 l0-1)']",True,4.0,4.0,0,5,True,"['(load-truck p0 t0 l0-0)', '(load-truck p1 t0 l0-0)', '(drive-truck t0 l0-0 l0-1 c0)', '(unload-truck p0 t0 l0-1)', '(unload-truck p1 t0 l0-1)']",4.0,0,5,True,"['(load-truck p0 t0 l0-0)', '(load-truck p1 t0 l0-0)', '(drive-truck t0 l0-0 l0-1 c0)', '(unload-truck p0 t0 l0-1)', '(unload-truck p1 t0 l0-1)']",1.0,0,5,True,"['(load-truck p0 t0 l0-0)', '(load-truck p1 t0 l0-0)', '(drive-truck t0 l0-0 l0-1 c0)', '(unload-truck p0 t0 l0-1)', '(unload-truck p1 t0 l0-1)']",1.0,0,5,True,"['(load-truck p1 t0 l0-0)', '(load-truck p0 t0 l0-0)', '(drive-truck t0 l0-0 l0-1 c0)', '(unload-truck p1 t0 l0-1)', '(unload-truck p0 t0 l0-1)']",True
gemini_2-5_pro,logistics,_one_shot,5,"['(fly-airplane a1 l0-0 l1-0)', '(load-airplane p1 a1 l1-0)', '(fly-airplane a1 l1-0 l0-0)', '(unload-airplane p1 a1 l0-0)']","['(load-truck p0 t1 l1-0)', '(load-truck p1 t1 l1-0)', '(unload-truck p0 t1 l1-0)', '(drive-truck t1 l1-0 l1-0 c1)', '(unload-truck p1 t1 l1-0)', '(load-airplane p1 a0 l0-0)', '(fly-airplane a0 l0-0 l1-0)', '(unload-airplane p1 a0 l1-0)']","{0: 'diff_act', 1: 'diff_act', 2: 'diff_act', 3: 'diff_act', 4: 'redundant', 5: 'redundant', 6: 'redundant', 7: 'redundant'}","{0: 'diff_act', 1: 'diff_act', 2: 'diff_act', 3: 'diff_act', 4: 'diff_act', 5: 'same_act', 6: 'same_act', 7: 'same_act'}",0.25,"['(fly-airplane a1 l0-0 l1-0)', '(load-airplane p1 a1 l1-0)', '(fly-airplane a1 l1-0 l0-0)', '(unload-airplane p1 a1 l0-0)']",[],False,1.3263777650648358,1.2574656750572082,8,5,False,"['(drive-truck t1 l0-0 l0-0 c1)', '(unload-truck p1 t1 l0-0)', '(load-airplane p1 a0 l1-0)', '(fly-airplane a0 l1-0 l0-0)', '(unload-airplane p1 a0 l0-0)', '(load-truck p0 t1 l0-0)', '(load-truck p1 t1 l0-0)', '(unload-truck p0 t1 l0-0)']",1.3952898550724635,8,0,False,[],0.0,4,0,False,[],0.0,4,0,False,"['(fly-airplane a1 l0-0 l1-0)', '(load-airplane p1 a1 l1-0)', '(fly-airplane a1 l1-0 l0-0)', '(unload-airplane p1 a1 l0-0)']",True
gemini_2-5_pro,logistics,_one_shot,12,"['(load-airplane p0 a0 l0-0)', '(drive-truck t0 l0-0 l0-1 c0)', '(load-truck p2 t0 l0-1)', '(drive-truck t0 l0-1 l0-0 c0)', '(unload-truck p2 t0 l0-0)', '(load-airplane p2 a0 l0-0)', '(fly-airplane a0 l0-0 l1-0)', '(unload-airplane p2 a0 l1-0)', '(unload-airplane p0 a0 l1-0)', '(drive-truck t1 l1-0 l1-1 c1)', '(load-truck p1 t1 l1-1)', '(drive-truck t1 l1-1 l1-0 c1)', '(unload-truck p1 t1 l1-0)']","['(load-truck p0 t0 l0-0)', '(drive-truck t0 l0-0 l0-1 c0)', '(unload-truck p0 t0 l0-1)', '(load-truck p2 t0 l0-1)', '(drive-truck t0 l0-1 l0-0 c0)', '(unload-truck p2 t0 l0-0)', '(load-airplane p0 a0 l0-0)', '(fly-airplane a0 c0 c1)', '(unload-airplane p0 a0 l1-0)', '(load-truck p1 t1 l1-1)', '(drive-truck t1 l1-1 l1-0 c1)', '(unload-truck p1 t1 l1-0)', '(load-airplane p2 a0 l1-0)']","{1: 'position', 8: 'position', 3: 'correct', 4: 'correct', 5: 'correct', 6: 'correct', 9: 'correct', 10: 'correct', 11: 'correct', 0: 'diff_act', 2: 'diff_act', 7: 'same_act', 12: 'diff_act'}","{1: 'position', 8: 'position', 3: 'correct', 4: 'correct', 5: 'correct', 6: 'correct', 9: 'correct', 10: 'correct', 11: 'correct', 0: 'diff_act', 2: 'diff_act', 7: 'same_act', 12: 'diff_act'}",1.8846153846153848,"['(load-airplane p0 a0 l0-0)', '(drive-truck t0 l0-0 l0-1 c0)', '(load-truck p2 t0 l0-1)', '(drive-truck t0 l0-1 l0-0 c0)', '(unload-truck p2 t0 l0-0)', '(load-airplane p2 a0 l0-0)', '(fly-airplane a0 l0-0 l1-0)', '(unload-airplane p2 a0 l1-0)', '(unload-airplane p0 a0 l1-0)', '(drive-truck t1 l1-0 l1-1 c1)', '(load-truck p1 t1 l1-1)', '(drive-truck t1 l1-1 l1-0 c1)', '(unload-truck p1 t1 l1-0)']",[],False,3.140955144599645,2.969634074365532,11,6,False,"['(drive-truck t0 l0-0 l0-1 c0)', '(unload-truck p2 t0 l0-1)', '(load-truck p2 t0 l0-1)', '(drive-truck t0 l0-1 l0-0 c0)', '(unload-truck p2 t0 l0-0)', '(load-airplane p2 a0 l0-0)', '(fly-airplane a0 c0 c1)', '(unload-airplane p2 a0 l1-0)', '(load-truck p1 t1 l1-1)', '(drive-truck t1 l1-1 l1-0 c1)', '(unload-truck p1 t1 l1-0)', '(load-airplane p2 a0 l1-0)', '(load-truck p2 t0 l0-0)']",3.312276214833759,8,1,False,"['(drive-truck t0 l0-0 l0-1 c0)', '(load-truck p2 t0 l0-1)', '(drive-truck t0 l0-1 l0-0 c0)', '(unload-truck p2 t0 l0-0)', '(unload-airplane p0 a0 l1-0)', '(load-truck p1 t1 l1-1)', '(drive-truck t1 l1-1 l1-0 c1)', '(unload-truck p1 t1 l1-0)']",1.0,13,4,False,"['(drive-truck t0 l0-0 l0-1 c0)', '(load-truck p2 t0 l0-1)', '(drive-truck t0 l0-1 l0-0 c0)', '(unload-truck p2 t0 l0-0)', '(load-airplane p2 a0 l0-0)', '(unload-airplane p2 a0 l1-0)', '(load-truck p1 t1 l1-1)', '(drive-truck t1 l1-1 l1-0 c1)', '(unload-truck p1 t1 l1-0)']",1.0,13,5,False,"['(load-airplane p0 a0 l0-0)', '(drive-truck t0 l0-0 l0-1 c0)', '(load-truck p2 t0 l0-1)', '(drive-truck t0 l0-1 l0-0 c0)', '(unload-truck p2 t0 l0-0)', '(load-airplane p2 a0 l0-0)', '(fly-airplane a0 l0-0 l1-0)', '(unload-airplane p2 a0 l1-0)', '(unload-airplane p0 a0 l1-0)', '(drive-truck t1 l1-0 l1-1 c1)', '(load-truck p1 t1 l1-1)', '(drive-truck t1 l1-1 l1-0 c1)', '(unload-truck p1 t1 l1-0)']",True
gemini_2-5_pro,logistics,_one_shot,13,"['(load-airplane p2 a0 l0-0)', '(load-airplane p1 a0 l0-0)', '(fly-airplane a0 l0-0 l1-0)', '(unload-airplane p2 a0 l1-0)', '(unload-airplane p1 a0 l1-0)', '(load-truck p1 t1 l1-0)', '(drive-truck t1 l1-0 l1-1 c1)', '(unload-truck p1 t1 l1-1)', '(load-truck p0 t1 l1-1)', '(drive-truck t1 l1-1 l1-0 c1)', '(unload-truck p0 t1 l1-0)', '(load-airplane p0 a0 l1-0)', '(fly-airplane a0 l1-0 l0-0)', '(unload-airplane p0 a0 l0-0)', '(drive-truck t0 l0-1 l0-0 c0)', '(load-truck p0 t0 l0-0)', '(drive-truck t0 l0-0 l0-1 c0)', '(unload-truck p0 t0 l0-1)']","['(drive-truck t0 l0-1 l0-0 c0)', '(load-truck p1 t0 l0-0)', '(load-truck p2 t0 l0-0)', '(drive-truck t0 l0-0 l0-1 c0)', '(unload-truck p1 t0 l0-1)', '(unload-truck p2 t0 l0-1)', '(fly-airplane a0 l0-0 l1-0)', '(load-airplane p0 a0 l1-0)', '(unload-airplane p0 a0 l1-0)', '(drive-truck t1 l1-0 l1-1 c1)', '(load-truck p1 t1 l1-1)', '(drive-truck t1 l1-1 l1-0 c1)', '(unload-truck p1 t1 l1-0)']","{0: 'correct', 3: 'correct', 6: 'correct', 7: 'correct', 9: 'correct', 11: 'correct', 1: 'same_act', 2: 'diff_act', 4: 'same_act', 5: 'diff_act', 8: 'same_act', 10: 'diff_act', 12: 'same_act'}","{0: 'correct', 3: 'correct', 6: 'correct', 7: 'correct', 9: 'correct', 11: 'correct', 1: 'same_act', 2: 'diff_act', 4: 'same_act', 5: 'diff_act', 8: 'same_act', 10: 'diff_act', 12: 'same_act'}",1.3461538461538465,"['(load-airplane p2 a0 l0-0)', '(load-airplane p1 a0 l0-0)', '(fly-airplane a0 l0-0 l1-0)', '(unload-airplane p2 a0 l1-0)', '(unload-airplane p1 a0 l1-0)', '(load-truck p1 t1 l1-0)', '(drive-truck t1 l1-0 l1-1 c1)', '(unload-truck p1 t1 l1-1)', '(load-truck p0 t1 l1-1)', '(drive-truck t1 l1-1 l1-0 c1)', '(unload-truck p0 t1 l1-0)', '(load-airplane p0 a0 l1-0)', '(fly-airplane a0 l1-0 l0-0)', '(unload-airplane p0 a0 l0-0)', '(drive-truck t0 l0-1 l0-0 c0)', '(load-truck p0 t0 l0-0)', '(drive-truck t0 l0-0 l0-1 c0)', '(unload-truck p0 t0 l0-1)']",[],False,2.723826986641632,2.44105106690919,18,7,False,"['(load-truck p2 t1 l1-1)', '(drive-truck t1 l1-1 l0-1 c0)', '(unload-truck p0 t1 l0-1)', '(unload-truck p2 t1 l0-1)', '(fly-airplane a0 l1-1 l1-0)', '(load-airplane p0 a0 l1-0)', '(unload-airplane p0 a0 l1-0)', '(drive-truck t1 l1-0 l1-1 c1)', '(load-truck p0 t1 l1-1)', '(drive-truck t1 l1-1 l1-0 c1)', '(unload-truck p0 t1 l1-0)', '(drive-truck t1 l0-1 l1-1 c0)', '(load-truck p0 t1 l1-1)']",3.006602906374073,16,0,False,"['(fly-airplane a0 l0-0 l1-0)', '(drive-truck t1 l1-0 l1-1 c1)', '(drive-truck t1 l1-1 l1-0 c1)']",1.0,18,3,False,"['(drive-truck t1 l1-0 l1-1 c1)', '(load-truck p0 t1 l1-1)', '(drive-truck t1 l1-1 l1-0 c1)', '(unload-truck p0 t1 l1-0)']",1.0,18,4,False,"['(load-airplane p2 a0 l0-0)', '(load-airplane p1 a0 l0-0)', '(fly-airplane a0 l0-0 l1-0)', '(unload-airplane p2 a0 l1-0)', '(unload-airplane p1 a0 l1-0)', '(load-truck p1 t1 l1-0)', '(drive-truck t1 l1-0 l1-1 c1)', '(unload-truck p1 t1 l1-1)', '(load-truck p0 t1 l1-1)', '(drive-truck t1 l1-1 l1-0 c1)', '(unload-truck p0 t1 l1-0)', '(load-airplane p0 a0 l1-0)', '(fly-airplane a0 l1-0 l0-0)', '(unload-airplane p0 a0 l0-0)', '(drive-truck t0 l0-1 l0-0 c0)', '(load-truck p0 t0 l0-0)', '(drive-truck t0 l0-0 l0-1 c0)', '(unload-truck p0 t0 l0-1)']",True
