model,domain,task,instance_id,gt_plan,curr_plan,plan_trace,nr_plan_trace,trace_score,complementary_plan,correct_part,executability,final_score,curr_score,curr_steps,curr_last_act,curr_validity,cdt_plan,cdt_score,cdt_steps,cdt_last_act,cdt_validity,subseq_plan,subseq_score,subseq_steps,subseq_last_act,subseq_validity,cdt_subseq_plan,cdt_subseq_score,cdt_subseq_steps,cdt_subseq_last_act,cdt_subseq_validity,improved_plan,improved_validity
qcode,logistics,_zero_shot,1,"['(fly-airplane a1 l0-0 l1-0)', '(load-airplane p0 a1 l1-0)', '(fly-airplane a1 l1-0 l0-0)', '(unload-airplane p0 a1 l0-0)']","['(load-truck p0 t0 l1-0)', '(drive-truck t0 l1-0 l0-0 c1)', '(unload-truck p0 t0 l0-0)']","{0: 'diff_act', 1: 'diff_act', 2: 'diff_act'}","{0: 'diff_act', 1: 'diff_act', 2: 'diff_act'}",0.5,"['(fly-airplane a1 l0-0 l1-0)', '(load-airplane p0 a1 l1-0)', '(fly-airplane a1 l1-0 l0-0)', '(unload-airplane p0 a1 l0-0)']",[],False,1.8,1.8,4,0,False,"['(load-truck p0 t0 l1-0)', '(drive-truck t0 l1-0 l0-0 c1)', '(unload-truck p0 t0 l0-0)']",1.8,4,0,False,[],0.0,4,0,False,[],0.0,4,0,False,"['(fly-airplane a1 l0-0 l1-0)', '(load-airplane p0 a1 l1-0)', '(fly-airplane a1 l1-0 l0-0)', '(unload-airplane p0 a1 l0-0)']",True
qcode,logistics,_zero_shot,2,"['(load-airplane p0 a1 l1-0)', '(fly-airplane a1 l1-0 l0-0)', '(unload-airplane p0 a1 l0-0)']",[],{},{},0.0,"['(load-airplane p0 a1 l1-0)', '(fly-airplane a1 l1-0 l0-0)', '(unload-airplane p0 a1 l0-0)']",[],True,0.0,0.0,3,0,False,[],0.0,3,0,False,[],0.0,3,0,False,[],0.0,3,0,False,"['(load-airplane p0 a1 l1-0)', '(fly-airplane a1 l1-0 l0-0)', '(unload-airplane p0 a1 l0-0)']",True
qcode,logistics,_zero_shot,4,"['(load-airplane p1 a0 l1-0)', '(load-airplane p0 a0 l1-0)', '(fly-airplane a0 l1-0 l0-0)', '(unload-airplane p1 a0 l0-0)', '(unload-airplane p0 a0 l0-0)']","['(load-truck p0 t0 l0-0)', '(load-truck p1 t0 l0-0)', '(drive-truck t0 l0-0 l1-0 c0)', '(unload-truck p0 t0 l1-0)', '(load-airplane p0 a0 l1-0)', '(fly-airplane a0 l1-0 l0-0)', '(unload-airplane p0 a0 l0-0)', '(load-truck p1 t1 l1-0)', '(drive-truck t1 l1-0 l0-0 c1)', '(unload-truck p1 t1 l0-0)']","{4: 'correct', 5: 'correct', 6: 'correct', 0: 'diff_act', 1: 'diff_act', 2: 'redundant', 3: 'redundant', 7: 'redundant', 8: 'redundant', 9: 'redundant'}","{4: 'correct', 5: 'correct', 6: 'correct', 0: 'diff_act', 1: 'diff_act', 2: 'diff_act', 3: 'diff_act', 7: 'diff_act', 8: 'diff_act', 9: 'diff_act'}",0.7,"['(load-airplane p1 a0 l1-0)', '(load-airplane p0 a0 l1-0)', '(fly-airplane a0 l1-0 l0-0)', '(unload-airplane p1 a0 l0-0)', '(unload-airplane p0 a0 l0-0)']",[],False,1.55,1.5,9,0,False,"['(unload-truck p0 t0 l1-0)', '(load-airplane p0 a0 l1-0)', '(fly-airplane a0 l1-0 l0-0)', '(unload-airplane p0 a0 l0-0)', '(load-truck p1 t1 l1-0)', '(drive-truck t1 l1-0 l0-0 c1)', '(unload-truck p1 t1 l0-0)', '(load-truck p0 t0 l0-0)', '(load-truck p1 t0 l0-0)', '(drive-truck t0 l0-0 l1-0 c0)']",1.6,8,0,False,"['(load-airplane p0 a0 l1-0)', '(fly-airplane a0 l1-0 l0-0)', '(unload-airplane p0 a0 l0-0)']",1.0,5,3,False,"['(load-airplane p0 a0 l1-0)', '(fly-airplane a0 l1-0 l0-0)', '(unload-airplane p0 a0 l0-0)']",1.0,5,3,False,"['(load-airplane p1 a0 l1-0)', '(load-airplane p0 a0 l1-0)', '(fly-airplane a0 l1-0 l0-0)', '(unload-airplane p1 a0 l0-0)', '(unload-airplane p0 a0 l0-0)']",True
qcode,logistics,_zero_shot,3,"['(fly-airplane a0 l1-0 l0-0)', '(load-airplane p1 a0 l0-0)', '(fly-airplane a0 l0-0 l1-0)', '(unload-airplane p1 a0 l1-0)']","['(load-airplane p1 a1 l1-1)', '(fly-airplane a1 l1-1 l2-1)', '(load-truck p0 t1 l1-1)', '(drive-truck t1 l1-1 l1-2 c1)', '(unload-airplane p1 a1 l1-1)', '(load-truck p1 t1 l1-2)', '(drive-truck t1 l1-2 l1-1 c1)', '(unload-truck p0 t1 l1-1)', '(load-airplane p0 a1 l1-1)', '(fly-airplane a1 l1-1 l2-1)', '(unload-airplane p0 a1 l1-1)', '(load-truck p0 t1 l1-1)', '(drive-truck t1 l1-1 l1-2 c1)', '(unload-truck p0 t1 l1-2)', '(load-airplane p0 a1 l1-1)', '(fly-airplane a1 l1-1 l2-1)', '(unload-airplane p0 a1 l1-1)', '(load-truck p0 t1 l1-1)', '(drive-truck t1 l1-1 l1-2 c1)', '(unload-truck p0 t1 l1-2)', '(load-airplane p0 a1 l1-1)', '(fly-airplane a1 l1-1 l2-1)', '(unload-airplane p0 a1 l1-1)']","{0: 'same_act', 1: 'same_act', 4: 'same_act', 9: 'same_act', 10: 'redundant', 11: 'redundant', 12: 'redundant', 13: 'redundant', 14: 'redundant', 15: 'redundant', 16: 'redundant', 17: 'redundant', 18: 'redundant', 19: 'redundant', 20: 'redundant', 21: 'redundant', 22: 'redundant', 2: 'redundant', 3: 'redundant', 5: 'redundant', 6: 'redundant', 7: 'redundant', 8: 'redundant'}","{0: 'same_act', 1: 'same_act', 4: 'same_act', 9: 'same_act', 10: 'same_act', 11: 'redundant', 12: 'redundant', 13: 'redundant', 14: 'same_act', 15: 'same_act', 16: 'same_act', 17: 'redundant', 18: 'redundant', 19: 'redundant', 20: 'same_act', 21: 'same_act', 22: 'same_act', 2: 'redundant', 3: 'redundant', 5: 'diff_act', 6: 'redundant', 7: 'redundant', 8: 'same_act'}",0.1739130434782608,"['(fly-airplane a0 l1-0 l0-0)', '(load-airplane p1 a0 l0-0)', '(fly-airplane a0 l0-0 l1-0)', '(unload-airplane p1 a0 l1-0)']",[],False,-1.0,-2.641304347826087,23,0,False,"['(load-airplane p1 a1 l1-1)', '(fly-airplane a1 l1-1 l2-1)', '(load-truck p0 t1 l1-1)', '(drive-truck t1 l1-1 l1-2 c1)', '(unload-airplane p1 a1 l1-1)', '(load-truck p1 t1 l1-2)', '(drive-truck t1 l1-2 l1-1 c1)', '(unload-truck p0 t1 l1-1)', '(load-airplane p0 a1 l1-1)', '(fly-airplane a1 l1-1 l2-1)', '(unload-airplane p0 a1 l1-1)', '(load-truck p0 t1 l1-1)', '(drive-truck t1 l1-1 l1-2 c1)', '(unload-truck p0 t1 l1-2)', '(load-airplane p0 a1 l1-1)', '(fly-airplane a1 l1-1 l2-1)', '(unload-airplane p0 a1 l1-1)', '(load-truck p0 t1 l1-1)', '(drive-truck t1 l1-1 l1-2 c1)', '(unload-truck p0 t1 l1-2)', '(load-airplane p0 a1 l1-1)', '(fly-airplane a1 l1-1 l2-1)', '(unload-airplane p0 a1 l1-1)']",-2.641304347826087,23,0,False,[],0.0,4,0,False,[],0.0,4,0,False,"['(fly-airplane a0 l1-0 l0-0)', '(load-airplane p1 a0 l0-0)', '(fly-airplane a0 l0-0 l1-0)', '(unload-airplane p1 a0 l1-0)']",True
qcode,logistics,_zero_shot,5,"['(fly-airplane a1 l0-0 l1-0)', '(load-airplane p1 a1 l1-0)', '(fly-airplane a1 l1-0 l0-0)', '(unload-airplane p1 a1 l0-0)']","['(load-truck p0 t0 l0-0)', '(load-airplane p1 a1 l0-0)', '(drive-truck t0 l0-0 l1-0 c0)', '(fly-airplane a1 l0-0 l1-0)', '(unload-truck p0 t0 l1-0)', '(unload-airplane p1 a1 l1-0)']","{3: 'correct', 0: 'diff_act', 1: 'same_act', 2: 'diff_act', 4: 'redundant', 5: 'redundant'}","{3: 'correct', 0: 'diff_act', 1: 'same_act', 2: 'diff_act', 4: 'diff_act', 5: 'same_act'}",0.6666666666666666,"['(fly-airplane a1 l0-0 l1-0)', '(load-airplane p1 a1 l1-0)', '(fly-airplane a1 l1-0 l0-0)', '(unload-airplane p1 a1 l0-0)']",[],False,2.1083333333333334,1.9833333333333332,6,0,False,"['(load-airplane p1 a1 l0-0)', '(drive-truck t0 l0-0 l1-0 c0)', '(fly-airplane a1 l0-0 l1-0)', '(unload-truck p0 t0 l1-0)', '(unload-airplane p1 a1 l1-0)', '(load-truck p0 t0 l0-0)']",2.2333333333333334,6,0,False,['(fly-airplane a1 l0-0 l1-0)'],1.0,3,1,False,['(fly-airplane a1 l0-0 l1-0)'],1.0,3,1,False,"['(fly-airplane a1 l0-0 l1-0)', '(load-airplane p1 a1 l1-0)', '(fly-airplane a1 l1-0 l0-0)', '(unload-airplane p1 a1 l0-0)']",True
qcode,logistics,_zero_shot,6,"['(load-truck p0 t1 l1-0)', '(drive-truck t1 l1-0 l1-1 c1)', '(unload-truck p0 t1 l1-1)']","['(load-truck p0 t0 l0-0)', '(drive-truck t0 l0-0 l1-0 c0)', '(load-airplane p0 a0 l1-0)', '(fly-airplane a0 l1-0 l1-1)']","{0: 'same_act', 1: 'same_act', 2: 'diff_act', 3: 'redundant'}","{0: 'same_act', 1: 'same_act', 2: 'diff_act', 3: 'diff_act'}",0.625,"['(load-truck p0 t1 l1-0)', '(drive-truck t1 l1-0 l1-1 c1)', '(unload-truck p0 t1 l1-1)']",[],False,1.9416666666666669,1.9416666666666664,4,0,False,"['(load-truck p0 t0 l1-0)', '(drive-truck t0 l1-0 l0-0 c0)', '(load-airplane p0 a0 l0-0)', '(fly-airplane a0 l0-0 l1-1)']",1.9416666666666669,4,0,False,[],0.0,3,0,False,[],0.0,3,0,False,"['(load-truck p0 t1 l1-0)', '(drive-truck t1 l1-0 l1-1 c1)', '(unload-truck p0 t1 l1-1)']",True
qcode,logistics,_zero_shot,7,"['(drive-truck t0 l0-0 l0-1 c0)', '(load-truck p0 t0 l0-1)', '(drive-truck t0 l0-1 l0-0 c0)', '(unload-truck p0 t0 l0-0)', '(load-airplane p0 a0 l0-0)', '(fly-airplane a0 l0-0 l1-0)', '(unload-airplane p0 a0 l1-0)']","['(load-truck p0 t0 l0-1)', '(drive-truck t0 l0-0 l0-1 c0)', '(load-airplane p0 a0 l0-1)', '(fly-airplane a0 l0-1 l1-1)', '(unload-airplane p0 a0 l1-1)', '(drive-truck t0 l0-1 l1-0 c0)', '(unload-truck p0 t0 l1-0)', '(load-truck p0 t0 l0-1)', '(drive-truck t0 l0-0 l0-1 c0)', '(load-airplane p0 a0 l0-1)', '(fly-airplane a0 l0-1 l1-1)', '(unload-airplane p0 a0 l1-1)', '(drive-truck t0 l0-1 l1-0 c0)', '(unload-truck p0 t0 l1-0)']","{0: 'correct', 1: 'correct', 2: 'same_act', 3: 'same_act', 4: 'same_act', 5: 'same_act', 6: 'same_act', 7: 'redundant', 8: 'redundant', 9: 'redundant', 10: 'redundant', 11: 'redundant', 12: 'redundant', 13: 'redundant'}","{0: 'correct', 1: 'correct', 2: 'same_act', 3: 'same_act', 4: 'same_act', 5: 'same_act', 6: 'same_act', 7: 'correct', 8: 'correct', 9: 'same_act', 10: 'same_act', 11: 'same_act', 12: 'same_act', 13: 'same_act'}",0.6428571428571429,"['(drive-truck t0 l0-0 l0-1 c0)', '(load-truck p0 t0 l0-1)', '(drive-truck t0 l0-1 l0-0 c0)', '(unload-truck p0 t0 l0-0)', '(load-airplane p0 a0 l0-0)', '(fly-airplane a0 l0-0 l1-0)', '(unload-airplane p0 a0 l1-0)']",[],False,1.5714285714285714,1.5714285714285714,14,0,False,"['(load-truck p0 t0 l0-1)', '(drive-truck t0 l0-0 l0-1 c0)', '(load-airplane p0 a0 l0-1)', '(fly-airplane a0 l0-1 l1-1)', '(unload-airplane p0 a0 l1-1)', '(drive-truck t0 l0-1 l1-0 c0)', '(unload-truck p0 t0 l1-0)', '(load-truck p0 t0 l0-1)', '(drive-truck t0 l0-0 l0-1 c0)', '(load-airplane p0 a0 l0-1)', '(fly-airplane a0 l0-1 l1-1)', '(unload-airplane p0 a0 l1-1)', '(drive-truck t0 l0-1 l1-0 c0)', '(unload-truck p0 t0 l1-0)']",1.5714285714285714,14,0,False,"['(drive-truck t0 l0-0 l0-1 c0)', '(load-truck p0 t0 l0-1)']",1.0,5,2,False,"['(drive-truck t0 l0-0 l0-1 c0)', '(load-truck p0 t0 l0-1)']",1.0,5,2,False,"['(drive-truck t0 l0-0 l0-1 c0)', '(load-truck p0 t0 l0-1)', '(drive-truck t0 l0-1 l0-0 c0)', '(unload-truck p0 t0 l0-0)', '(load-airplane p0 a0 l0-0)', '(fly-airplane a0 l0-0 l1-0)', '(unload-airplane p0 a0 l1-0)']",True
qcode,logistics,_zero_shot,9,"['(load-truck p0 t1 l1-1)', '(drive-truck t1 l1-1 l1-0 c1)', '(unload-truck p0 t1 l1-0)']",[],{},{},0.0,"['(load-truck p0 t1 l1-1)', '(drive-truck t1 l1-1 l1-0 c1)', '(unload-truck p0 t1 l1-0)']",[],True,0.0,0.0,3,0,False,[],0.0,3,0,False,[],0.0,3,0,False,[],0.0,3,0,False,"['(load-truck p0 t1 l1-1)', '(drive-truck t1 l1-1 l1-0 c1)', '(unload-truck p0 t1 l1-0)']",True
qcode,logistics,_zero_shot,10,"['(load-truck p1 t0 l0-0)', '(load-truck p0 t0 l0-0)', '(drive-truck t0 l0-0 l0-1 c0)', '(unload-truck p1 t0 l0-1)', '(unload-truck p0 t0 l0-1)']",[],{},{},0.0,"['(load-truck p1 t0 l0-0)', '(load-truck p0 t0 l0-0)', '(drive-truck t0 l0-0 l0-1 c0)', '(unload-truck p1 t0 l0-1)', '(unload-truck p0 t0 l0-1)']",[],True,0.0,0.0,5,0,False,[],0.0,5,0,False,[],0.0,5,0,False,[],0.0,5,0,False,"['(load-truck p1 t0 l0-0)', '(load-truck p0 t0 l0-0)', '(drive-truck t0 l0-0 l0-1 c0)', '(unload-truck p1 t0 l0-1)', '(unload-truck p0 t0 l0-1)']",True
qcode,logistics,_zero_shot,11,"['(load-truck p0 t0 l0-0)', '(drive-truck t0 l0-0 l0-1 c0)', '(unload-truck p0 t0 l0-1)', '(drive-truck t1 l1-0 l1-1 c1)', '(load-truck p1 t1 l1-1)', '(drive-truck t1 l1-1 l1-0 c1)', '(unload-truck p1 t1 l1-0)']",[],{},{},0.0,"['(load-truck p0 t0 l0-0)', '(drive-truck t0 l0-0 l0-1 c0)', '(unload-truck p0 t0 l0-1)', '(drive-truck t1 l1-0 l1-1 c1)', '(load-truck p1 t1 l1-1)', '(drive-truck t1 l1-1 l1-0 c1)', '(unload-truck p1 t1 l1-0)']",[],True,0.0,0.0,7,0,False,[],0.0,7,0,False,[],0.0,7,0,False,[],0.0,7,0,False,"['(load-truck p0 t0 l0-0)', '(drive-truck t0 l0-0 l0-1 c0)', '(unload-truck p0 t0 l0-1)', '(drive-truck t1 l1-0 l1-1 c1)', '(load-truck p1 t1 l1-1)', '(drive-truck t1 l1-1 l1-0 c1)', '(unload-truck p1 t1 l1-0)']",True
